year,title,info.rating,info.rank,info.running_time_secs,info.genres,info.plot,info.directors,info.actors
2013,jOBS,5.6,66,7680,"['Biography', 'Drama']",The story of Steve Jobs' ascension from college dropout into one of the most revered creative entrepreneurs of the 20th century.,['Joshua Michael Stern'],"['Ashton Kutcher', 'Dermot Mulroney', 'Josh Gad']"
2013,uwantme2killhim?,5.6,4881,5520,"['Drama', 'Thriller']",A teenage boy's descent into the dangerous world of the Internet and the harrowing consequences of his actions. A true story.,['Andrew Douglas'],"['Jamie Blackley', 'Toby Regbo', 'Joanne Froggatt']"
1999,eXistenZ,6.8,3604,5820,['Sci-Fi'],A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,['David Cronenberg'],"['Jude Law', 'Jennifer Jason Leigh', 'Ian Holm']"
